Stkcd,other_receivables,fix_assets_net,intangible_assets_net,ttl_assets,ttl_current_assets,net_assets,total_liab,current_liab,year,retained_earnings
000030,107125796.23,1770736650.75,276509317.75,8085376947.33,3744409101.73,5304916052.97,2780460894.36,1943080405.23,2015,2857853717.58
000030,127473541.26,1731836734.49,296834321.69,9072987293.6,4377232043.94,5774955787.49,3298031506.11,2498905966.35,2016,3339594293.25
000030,134928300.78,1773438968.51,296605314.19,10364348492.24,5359617781.47,6324423081.07,4039925411.17,3177456611.74,2017,3912491585.43
000030,390476093.96,2227522458.26,454532679.77,11682128691.55,5920355271.39,7127916035.35,4554212656.2,3759356221.48,2018,4017688313.04
000030,406010722.83,2345727163.01,466946723.1,12920598874.83,6800464416.02,7453675493.93,5466923380.9,4540982114.24,2019,4648046189.440001
000031,731509784.84,437039460.77,31653765.37,34838562066.52,32041376622.02,7575112620.88,27263449445.64,20589357824.43,2012,2398101629.4
000031,563506516.86,591331034.96,59870116.12,40602717174.27,36974304040.95,8970396283.51,31632320890.76,24645798966.1,2013,2787358036.4300003
000031,427845897.2,587331781.76,61763751.43,46311473255.99,40664302276.12,10665037790.2,35646435465.79,23660951514.53,2014,3331472469.52
000031,2095038136.44,566876633.24,34547627.04,55321650992.89,49547479454.78,11085902448.59,44235748544.3,26490404480.85,2015,3882921167.05
000031,6757601112.44,628512202.68,56955164.89,61276950060.49,52333646070.58,11287529175.15,49989420885.34,31800014304.29,2016,3942040300.4
000031,18098774000.1,568453621.52,54350624.78,75751475786.87,65215513416.92,11744589163.66,64006886623.21,48419992312.38,2017,4757622914.76
000031,22433846374.05,548564068.81,53324516.27,91171929971.51,80713153093.73,13759785443.36,77412144528.15,45279699172.71,2018,6033507923.889999
000031,24428414441.92,4223926902.46,1892792820.85,183182566384.14,133779512536.06,42541040406.97,140641525977.17,84836794709.34,2019,7573759584.85
